point	title	description	icon
-8.3431014,115.3670791	Gunung Agung	Gunung Agung adalah gunung tertinggi di pulau Bali dengan ketinggian 3.031 mdpl. Gunung ini terletak di kecamatan Rendang, Kabupaten Karangasem - Bali. Gunung Agung adalah gunung berapi tipe stratovolcano, gunung ini memiliki kawah yang sangat besar dan sangat dalam yang kadang-kadang mengeluarkan asap dan uap air. Dari Pura Besakih gunung ini nampak dengan kerucut runcing sempurna, tetapi sebenarnya puncak gunung ini memanjang dan berakhir pada kawah yang melingkar dan lebar.	http://localhost:8080/sig_indonesia/img/marker-blue.png
-7.9420836,112.6728689	Gunung Bromo	Gunung Bromo (dari bahasa Sanskerta: Brahma, salah seorang Dewa Utama dalam agama Hindu), adalah sebuah gunung berapi aktif di Jawa Timur, Indonesia. Gunung ini memiliki ketinggian 2.329 meter di atas permukaan laut dan berada dalam empat wilayah kabupaten, yakni Kabupaten Probolinggo, Kabupaten Pasuruan, Kabupaten Lumajang, dan Kabupaten Malang. Gunung Bromo terkenal sebagai obyek wisata utama di Jawa Timur. Gunung Bromo mempunyai sebuah kawah dengan garis tengah ± 800 meter (utara-selatan) dan ± 600 meter (timur-barat). Sedangkan daerah bahayanya berupa lingkaran dengan jari-jari 4 km dari pusat kawah Bromo.	http://localhost:8080/sig_indonesia/img/marker-blue.png
-8.1075316,112.8523665	Gunung Semeru	Gunung Semeru merupakan gunung berapi tertinggi di Pulau Jawa, dengan puncaknya Mahameru, 3.676 meter dari permukaan laut (mdpl). Banyak sekali spot ? spot yang terkenal indahnya. Contohnya Oro ? oro Ombo, Danau Ranu Kumbolo dan Kalimati. Oro ? oro Ombo merupakan padang bunga yang sangat cantik. Kalau Danau Ranu Kumbolo terkenal dengan keindahan sunrise di pagi hari. Sedangkan kawasan Kalimati terkenal indah sekaligus unik karena pasirnya yang hitam.	http://localhost:8080/sig_indonesia/img/marker-blue.png
-7.3191408,107.6610084	Gunung Papandayan	Gunung Papandayan terletak di Cisurupan, Garut, Jawa Barat. Gunung ini mempunyai ketinggian 2.665 Mdpl. Papandayan mempunyai kawah yang masih aktif jadi bisa menghamburkan belerang kapan saja. Saat mendaki, Anda bisa menikmati pemandangan padang Edelweiss yang luar biasa cantik. Efek letusan dan pepohonan yang mengering juga akan membuat pendakian jadi lebih menarik. Karena keindahan Gunung Papandayan juga digunakan sebagai tempat foto pre wedding	http://localhost:8080/sig_indonesia/img/marker-blue.png
-8.4108905,116.3172605	Gunung Rinjani	Gunung yang merupakan gunung berapi kedua tertinggi di Indonesia dengan ketinggian 3.726 m dpl. Gunung Rinjani merupakan gunung favorit bagi pendaki Indonesia karena keindahan pemandangannya. Tempat yang sering dikunjungi adalah Segara Anak atau sering disebut segara anakan, sebuah danau terletak di ketinggian 2.000m dpl. Untuk mencapai lokasi ini kita bisa mendaki dari desa Senaru atau desa Sembalun Lawang.	http://localhost:8080/sig_indonesia/img/marker-blue.png
-7.4549113,110.4049803	Gunung Merbabu	Gunung Merbabu terletak di wilayah Magelang dan Boyolali dengan ketinggian 3.142 Mdpl. Merbabu adalah salah satu gunung terindah di Indonesia. Pendakian di gunung merbabu cukup populer, karena gunung merbabu memilik jalur pendakian yang tidak terlalu tinggi, tapi pemandangan yang tersaji sangatlah indah. Merbabu di kenal memiliki 7 buah puncak dengan 2 puncak tertinggi yaitu puncak Syarif ( 3.119 Mdpl)  dan Puncak Trianggulasi ( 3.142 Mdpl ). Gunung ini memiliki 5 buah kawah yaitu kawah Condrodimuko, kawah Kombang, Kendang, Rebab, dan kawah Sambernyowo.	http://localhost:8080/sig_indonesia/img/marker-blue.png
-8.7685095,121.6820202	Gunung Kelimutu	Gunung Kelimutu adalah gunung berapi yang terletak di Pulau Flores, Provinsi NTT, Indonesia. Lokasi gunung ini tepatnya di Desa Pemo, Kecamatan Kelimutu, Kabupaten Ende. Gunung ini memiliki tiga buah danau kawah di puncaknya. Danau ini dikenal dengan nama Danau Tiga Warna karena memiliki tiga warna yang berbeda, yaitu merah, biru, dan putih. Walaupun begitu, warna-warna tersebut selalu berubah-ubah seiring dengan perjalanan waktu.	http://localhost:8080/sig_indonesia/img/marker-blue.png
-8.247521,117.8510126	Gunung Tambora	Gunung Tambora atau Tomboro terletak di pulau Sumbawa tepatnya terletak di dua kabupaten, yaitu Kabupaten Dompu dan Bima, Provinsi Nusa Tenggara Barat. Keindahan alam Gunung Tambora sangat unik. Lebar kawah Gunung Tambora 7 km, keliling kawah 16 km, dan kedalaman kawah dari puncak sampai dasar kawah kedalaman 800m, sehingga kawah Gunung Tambora terkenal dengan The Greatest Crater in Indonesia ( Kawah Terbesar di Indonesia ). Kawah besar ini merupakan akibat dari adanya letusan terdahsyat di dunia terkenal dengan The Largest Volcanic Eruption in History.	http://localhost:8080/sig_indonesia/img/marker-blue.png
-6.8862347,107.0261866	Gunung Burangrang	Gunung Burangrang merupakan sebuah gunung api mati yang terdapat di pulau Jawa, Indonesia. Gunung Burangrang mempunyai ketinggian setinggi 2.064 meter. Gunung ini merupakan salah-satu sisa dari hasil letusan besar Gunung Sunda di Zaman Prasejarah. Gunung Burangrang bersebelahan dengan Gunung Sunda.	http://localhost:8080/sig_indonesia/img/marker-blue.png
-7.3224113,107.8249804	Gunung Cikuray	Gunung Cikuray adalah sebuah gunung yang terletak di Kabupaten Garut, Jawa Barat, Indonesia. Gunung Cikurai mempunyai ketinggian 2.821 meter di atas permukaan laut dan merupakan gunung tertinggi keempat di Jawa Barat setelah Gunung Gede. Gunung ini berada di perbatasan kecamatan Bayongbong, Cikajang, dan Dayeuh Manggung.	http://localhost:8080/sig_indonesia/img/marker-blue.png
